State,County,Latitude,Longitude,AQI
Alabama,Baldwin,30.7276,-87.7226,40
Alabama,Clay,33.269,-85.8605,27
Alabama,DeKalb,34.4598,-85.8041,37
Alabama,Elmore,32.5966,-86.1492,37
Alabama,Etowah,34.0453,-86.0348,42
Alabama,Jefferson,33.5543,-86.8964,51
Alabama,Madison,34.7631,-86.5502,43
Alabama,Mobile,30.7872,-88.2058,42
Alabama,Montgomery,32.2203,-86.2076,41
Alabama,Morgan,34.4535,-86.8529,43
Alabama,Russell,32.2884,-85.1849,44
Alabama,Shelby,33.2643,-86.6607,41
Alabama,Sumter,32.5911,-88.1988,34
Alabama,Tuscaloosa,33.2896,-87.5251,37
Alaska,Anchorage ,,,21
Alaska,Denali ,,,38
Alaska,Fairbanks North Star ,,,39
Alaska,Juneau ,,,14
Alaska,Matanuska-Susitna ,,,10
Arizona,Apache,35.3955,-109.4888,11
Arizona,Cochise,31.8796,-109.7512,45
Arizona,Coconino,35.8387,-111.7705,47
Arizona,Gila,33.7997,-110.8116,48
Arizona,La Paz,33.7294,-113.9815,45
Arizona,Maricopa,33.349,-112.4915,74
Arizona,Mohave,35.7041,-113.7579,18
Arizona,Navajo,35.3996,-110.3214,43
Arizona,Pima,32.0974,-111.7899,48
Arizona,Pinal,32.9044,-111.3448,66
Arizona,Santa Cruz,31.526,-110.8465,32
Arizona,Yavapai,34.5998,-112.5538,42
Arizona,Yuma,32.7695,-113.9056,46
Arkansas,Arkansas,34.2892,-91.3742,28
Arkansas,Ashley,33.1912,-91.7685,27
Arkansas,Clark,34.051,-93.1764,36
Arkansas,Crittenden,35.2057,-90.3078,32
Arkansas,Garland,34.5768,-93.1504,33
Arkansas,Jackson,35.5992,-91.2145,28
Arkansas,Newton,35.92,-93.2179,39
Arkansas,Polk,34.4858,-94.2282,36
Arkansas,Pulaski,34.77,-92.312,43
Arkansas,Union,33.1713,-92.5972,32
Arkansas,Washington,35.9791,-94.2156,38
California,Alameda,37.6469,-121.8888,41
California,Amador,38.4464,-120.6511,35
California,Butte,39.6669,-121.6007,43
California,Calaveras,38.2046,-120.5541,38
California,Colusa,39.1775,-122.237,40
California,Contra Costa,37.9192,-121.9277,42
California,Del Norte,41.7431,-123.8972,23
California,El Dorado,38.7787,-120.5247,43
California,Fresno,36.7582,-119.6493,64
California,Glenn,39.5981,-122.3919,40
California,Humboldt,40.6993,-123.8756,23
California,Imperial,33.0395,-115.3653,57
California,Inyo,36.5111,-117.4107,50
California,Kern,35.3426,-118.7301,57
California,Kings,36.0752,-119.8155,67
California,Lake,39.0996,-122.7532,16
California,Los Angeles,34.3209,-118.2247,69
California,Madera,37.218,-119.7627,48
California,Marin,38.0735,-122.7235,33
California,Mariposa,37.5815,-119.9054,45
California,Merced,37.1919,-120.7177,53
California,Mono,37.9391,-118.8868,18
California,Monterey,36.2171,-121.2388,39
California,Nevada,39.3013,-120.7689,48
California,Orange,33.7031,-117.7609,49
California,Placer,39.0634,-120.7177,50
California,Plumas,40.0046,-120.8385,40
California,Riverside,33.7436,-115.9938,77
California,Sacramento,38.4493,-121.3443,40
California,San Benito,36.6057,-121.075,42
California,San Bernardino,34.8414,-116.1784,76
California,San Diego,33.0343,-116.735,49
California,San Francisco,37.7558,-122.4449,33
California,San Joaquin,37.9348,-121.2714,43
California,San Luis Obispo,35.3871,-120.4044,55
California,San Mateo,37.4229,-122.329,35
California,Santa Barbara,34.6729,-120.0169,43
California,Santa Clara,37.2318,-121.6951,42
California,Santa Cruz,37.0562,-122.0018,35
California,Shasta,40.7637,-122.0405,44
California,Solano,38.27,-121.9329,40
California,Sonoma,38.5289,-122.8881,32
California,Stanislaus,37.5591,-120.9977,48
California,Sutter,39.0346,-121.6948,46
California,Tehama,40.1256,-122.2341,39
California,Trinity,40.6507,-123.1126,22
California,Tulare,36.2202,-118.8005,67
California,Tuolumne,38.0276,-119.9548,37
California,Ventura,34.4561,-119.0836,48
California,Yolo,38.6866,-121.9016,41
Colorado,Adams,39.8736,-104.3379,50
Colorado,Arapahoe,39.6498,-104.3393,48
Colorado,Archuleta,37.1935,-107.0483,44
Colorado,Boulder,40.0925,-105.3577,48
Colorado,Clear Creek,39.6891,-105.6444,49
Colorado,Delta,38.8614,-107.8629,44
Colorado,Denver,39.762,-104.8758,49
Colorado,Douglas,39.3297,-104.9296,49
Colorado,El Paso,38.8321,-104.5254,48
Colorado,Fremont,38.4731,-105.4395,12
Colorado,Garfield,39.5993,-107.904,43
Colorado,Gilpin,39.8575,-105.5226,46
Colorado,Gunnison,38.6668,-107.0316,46
Colorado,Jackson,40.6664,-106.3428,46
Colorado,Jefferson,39.5864,-105.2505,50
Colorado,La Plata,37.2866,-107.8433,47
Colorado,Larimer,40.6664,-105.4612,51
Colorado,Mesa,39.0183,-108.4664,45
Colorado,Montezuma,37.3386,-108.5966,45
Colorado,Pitkin,39.2171,-106.9166,13
Colorado,Prowers,37.9552,-102.3934,17
Colorado,Pueblo,38.1735,-104.5127,19
Colorado,Rio Blanco,39.9798,-108.2171,47
Colorado,Routt,40.4851,-106.9913,16
Colorado,San Miguel,38.0038,-108.4057,15
Colorado,Weld,40.5548,-104.3925,51
Connecticut,Fairfield,41.271,-73.3893,44
Connecticut,Hartford,41.8064,-72.7329,41
Connecticut,Litchfield,41.7925,-73.2453,40
Connecticut,Middlesex,41.4632,-72.5351,40
Connecticut,New Haven,41.4106,-72.9321,42
Connecticut,New London,41.4867,-72.1014,37
Connecticut,Tolland,41.855,-72.3365,40
Connecticut,Windham,41.83,-71.9874,38
Country Of Mexico,BAJA CALIFORNIA NORTE,,,61
Country Of Mexico,SONORA,,,47
Delaware,Kent,39.086,-75.5686,37
Delaware,New Castle,39.5768,-75.6527,42
Delaware,Sussex,38.6606,-75.39,37
District Of Columbia,District of Columbia,,,43
Florida,Alachua,29.6747,-82.3577,40
Florida,Baker,30.3311,-82.2846,41
Florida,Bay,30.2652,-85.6203,42
Florida,Brevard,28.2937,-80.7323,42
Florida,Broward,26.1523,-80.4871,44
Florida,Citrus,28.8489,-82.4794,35
Florida,Collier,26.1108,-81.3475,38
Florida,Columbia,30.2242,-82.6215,41
Florida,Duval,30.3316,-81.6708,45
Florida,Escambia,30.669,-87.363,45
Florida,Flagler,29.4614,-81.3136,38
Florida,Hamilton,30.4964,-82.9479,40
Florida,Highlands,27.3433,-81.341,39
Florida,Hillsborough,27.9291,-82.3091,46
Florida,Holmes,30.8679,-85.814,42
Florida,Indian River,27.6943,-80.6062,34
Florida,Lake,28.7615,-81.7113,40
Florida,Lee,26.5779,-81.8337,41
Florida,Leon,30.458,-84.2779,42
Florida,Liberty,30.2414,-84.8829,32
Florida,Manatee,27.4719,-82.3153,38
Florida,Marion,29.2102,-82.0567,42
Florida,Martin,27.0775,-80.4315,40
Florida,Miami-Dade,25.615,-80.5623,41
Florida,Okaloosa,30.6913,-86.5917,39
Florida,Orange,28.5145,-81.3236,41
Florida,Osceola,28.0627,-81.1494,38
Florida,Palm Beach,26.6476,-80.4655,40
Florida,Pasco,28.3091,-82.3932,42
Florida,Pinellas,27.92,-82.7256,44
Florida,Polk,27.9489,-81.6976,41
Florida,Putnam,29.6087,-81.7443,18
Florida,Santa Rosa,30.7004,-87.0219,43
Florida,Sarasota,27.1845,-82.3315,43
Florida,Seminole,28.717,-81.2363,40
Florida,St. Lucie,27.3773,-80.472,37
Florida,Volusia,29.0584,-81.1819,42
Florida,Wakulla,30.1673,-84.4007,41
Georgia,Bibb,32.8065,-83.6974,38
Georgia,Chatham,32.0043,-81.1329,39
Georgia,Chattooga,34.475,-85.3453,35
Georgia,Clarke,33.9512,-83.3673,44
Georgia,Clayton,33.5419,-84.3577,33
Georgia,Cobb,33.9415,-84.5767,39
Georgia,Coffee,31.5493,-82.8492,28
Georgia,Columbia,33.5441,-82.2641,34
Georgia,Dawson,34.4443,-84.1706,35
Georgia,DeKalb,33.7715,-84.2264,43
Georgia,Dougherty,31.5335,-84.2164,36
Georgia,Douglas,33.7018,-84.768,38
Georgia,Floyd,34.2632,-85.2143,29
Georgia,Fulton,33.7903,-84.467,45
Georgia,Glynn,31.2309,-81.5407,37
Georgia,Gwinnett,33.9617,-84.0236,42
Georgia,Hall,34.3169,-83.8197,36
Georgia,Henry,33.453,-84.1542,38
Georgia,Houston,32.459,-83.6662,33
Georgia,Lowndes,30.8338,-83.2677,35
Georgia,Murray,34.7884,-84.7481,40
Georgia,Muscogee,32.51,-84.8771,40
Georgia,Pike,33.0923,-84.3892,36
Georgia,Richmond,33.3596,-82.0736,40
Georgia,Rockdale,33.6543,-84.0266,39
Georgia,Sumter,32.0399,-84.197,34
Georgia,Walker,34.7356,-85.301,43
Georgia,Washington,32.9695,-82.7959,40
Hawaii,Hawaii,19.5985,-155.5185,26
Hawaii,Honolulu,21.5008,-158.1053,29
Hawaii,Kauai,22.0398,-159.5966,10
Hawaii,Maui,20.8596,-156.5649,18
Idaho,Ada,43.4511,-116.2412,43
Idaho,Bannock,42.6685,-112.2246,40
Idaho,Benewah,47.2176,-116.6587,30
Idaho,Blaine,43.4119,-113.9802,17
Idaho,Boise,43.9891,-115.7303,23
Idaho,Bonner,48.3,-116.6011,19
Idaho,Bonneville,43.3877,-111.6148,19
Idaho,Butte,43.7229,-113.1721,43
Idaho,Canyon,43.6251,-116.7093,26
Idaho,Franklin,42.1811,-111.8132,15
Idaho,Idaho,45.8441,-115.4675,36
Idaho,Kootenai,47.6744,-116.7018,10
Idaho,Latah,46.8162,-116.7117,0
Idaho,Lemhi,44.9433,-113.9333,24
Idaho,Nez Perce,46.3268,-116.7502,19
Idaho,Shoshone,47.3529,-115.8924,23
Idaho,Twin Falls,42.356,-114.6672,18
Idaho,Valley,44.7666,-115.5663,23
Illinois,Adams,39.9879,-91.1885,39
Illinois,Champaign,40.1401,-88.1992,40
Illinois,Clark,39.3336,-87.7877,36
Illinois,Cook,41.8401,-87.8168,48
Illinois,DuPage,41.852,-88.0856,41
Illinois,Effingham,39.0598,-88.5899,38
Illinois,Hamilton,38.0815,-88.5391,40
Illinois,Jersey,39.0855,-90.3565,41
Illinois,Jo Daviess,42.3658,-90.2126,36
Illinois,Kane,41.9388,-88.4286,40
Illinois,Lake,42.3233,-88.0037,41
Illinois,Macon,39.86,-88.9616,41
Illinois,Macoupin,39.261,-89.9245,36
Illinois,Madison,38.8297,-89.9049,47
Illinois,McHenry,42.3244,-88.4523,40
Illinois,McLean,40.4909,-88.8473,42
Illinois,Peoria,40.788,-89.76,42
Illinois,Randolph,38.0521,-89.8252,42
