"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","CostOfLivingIndex2023","CostOfLivingIndexGroceryCostsIndex","CostOfLivingIndexHealthCostsIndex","CostOfLivingIndexHousingCostsIndex","CostOfLivingIndexMiscCostsIndex","CostOfLivingIndexTransportationCostsIndex","CostOfLivingIndexUtilityCostsIndex"
"1","Alabama",100.6762,5098746,5074296,5031362,5006199.4,4779736,0.00482,24450,0.06674,88.8,96.4,86.9,70.4,96.2,92,103.6
"2","Alaska",1.28449,732984,733583,732923,730653.8,710231,-0.00082,-599,0.03204,124.4,127.4,149.8,118.1,118.8,121.9,148.1
"4","Arizona",65.61541,7453517,7359197,7179943,7101150.4,6392017,0.01282,94320,0.16607,107.2,101.8,93.5,125.3,102.1,99.2,94.3
"5","Arkansas",58.86715,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,90.3,95.4,87.2,76.3,99.1,92.2,91.8
"6","California",249.81347,38915693,39029342,39501653,39276883.3,37253956,-0.00291,-113649,0.04461,134.5,112.3,106.4,186.5,110.9,124.1,124.8
"8","Colorado",56.62333,5868555,5839926,5784865,5709298.1,5029196,0.0049,28629,0.1669,105.5,100.6,102,116.1,103,107.4,90.9
"9","Connecticut",749.49504,3629055,3626205,3597362,3595035.5,3574097,0.00079,2850,0.01538,113.1,99.8,109.7,122.7,111.9,102.6,122.3
"10","Delaware",529.49461,1031985,1018396,992114,982696,897934,0.01334,13589,0.14929,102.6,103,104.3,99.7,103.9,109.5,97.8
"11","District of Columbia",11062.54098,674815,671803,670868,663953.5,601723,0.00448,3012,0.12147,148.7,106.9,104.7,241.8,117.7,107.9,110.2
"12","Florida",422.59351,22661577,22244823,21589602,21310772.8,18801310,0.01873,416754,0.20532,102.3,100.1,96.3,110.5,99.4,99.8,96.7
"13","Georgia",191.91701,11037723,10912876,10729828,10625610.5,9687653,0.01144,124847,0.13936,91,98.9,101.4,78.5,97.2,94.5,84.4
"15","Hawaii",223.14152,1433238,1440196,1451043,1441968.8,1360301,-0.00483,-6958,0.05362,179,125.6,118.4,309.7,123.8,140.3,141.1
