State,urban_perc_state,County,percentage20_Donald_Trump,percentage20_Joe_Biden,avg_sal_2022,white_perc,baa_perc,asian_perc,native_perc,pi_perc,his_perc,AQI,CO_perc,NO2_perc,O3_perc,PM2.5_perc,PM10_perc
Alabama,0.5770000000000001,Baldwin,0.762,0.223,56747.0,0.8936555278268103,0.0945563738916955,0.0172459269178485,0.0170714387160914,0.0024144297684987,0.0503621644652748,40,0.0,0.0,0.8085106382978723,0.1914893617021276,0.0
Alabama,0.5770000000000001,Clay,0.808,0.183,39876.0,0.8510353570925483,0.1530497253134244,0.0047189745034511,0.0123256796731934,0.0010564868291308,0.0318354697844766,27,0.0,0.0,0.0,1.0,0.0
Alabama,0.5770000000000001,DeKalb,0.844,0.146,40558.0,0.9466374065946276,0.0264035112086446,0.0072363121197811,0.0371260312786466,0.0068196338787188,0.1599211089196922,37,0.0,0.0,0.9256198347107438,0.0743801652892562,0.0
Alabama,0.5770000000000001,Elmore,0.736,0.252,49071.0,0.7643669819010083,0.2301731741902348,0.0114332927659859,0.011120663666916,0.0019985931690541,0.0317988455053984,37,0.0,0.0,1.0,0.0,0.0
Alabama,0.5770000000000001,Etowah,0.745,0.242,42951.0,0.82587692068912,0.1638115008536396,0.0112622225671271,0.0152006053080862,0.0041517926431786,0.0477359149464535,42,0.0,0.0,0.4245810055865922,0.5754189944134078,0.0
Alabama,0.5770000000000001,Jefferson,0.426,0.557,66345.0,0.539044407274323,0.4447535275296848,0.0230294450480832,0.0073684004875197,0.0009527974523939,0.0440045145166356,51,0.0054945054945054,0.0,0.3681318681318681,0.6263736263736264,0.0
Alabama,0.5770000000000001,Madison,0.528,0.448,61252.0,0.7088077509199262,0.2665245995068948,0.0364972185397643,0.0176923172227522,0.0020987944940715,0.0559191208355531,43,0.0,0.0,0.3922651933701657,0.5911602209944752,0.0165745856353591
Alabama,0.5770000000000001,Mobile,0.553,0.433,47586.0,0.5991891320358473,0.377379311685881,0.0263483475162307,0.0160131838963955,0.0012031763856581,0.0318999735058129,42,0.0,0.0,0.4055555555555555,0.5944444444444444,0.0
Alabama,0.5770000000000001,Montgomery,0.336,0.651,49199.0,0.3474140863487968,0.6207164661757105,0.0401305878662843,0.0082655581129258,0.0019393800168756,0.040545853746891,41,0.0,0.0,0.569060773480663,0.430939226519337,0.0
Alabama,0.5770000000000001,Morgan,0.739,0.246,46203.0,0.8439268663805943,0.1470562188534026,0.0108041960856928,0.0216889003389393,0.0024232958433633,0.0914009226236001,43,0.0,0.0,0.4585635359116022,0.5414364640883977,0.0
Alabama,0.5770000000000001,Russell,0.464,0.525,38452.0,0.5137904534198616,0.4822303816924259,0.0159849713944155,0.0150115276236017,0.0049184527367432,0.0616685167790965,44,0.0,0.0,0.3888888888888889,0.6111111111111112,0.0
Alabama,0.5770000000000001,Shelby,0.694,0.289,67405.0,0.825126567151207,0.1524281337592073,0.0292201725224344,0.0093822653890446,0.0014688308019903,0.061212871824957,41,0.0,0.0,1.0,0.0,0.0
Alabama,0.5770000000000001,Sumter,0.254,0.738,38538.0,0.2816164684046233,0.70454737197334,0.0186450687589639,0.0048089091369273,0.0008436682696363,0.0152703956804184,34,0.0,0.0,0.4111111111111111,0.5888888888888889,0.0
Alabama,0.5770000000000001,Tuscaloosa,0.568,0.418,41232.0,0.6495016470985725,0.3350663062758679,0.0220331109046372,0.0071500971365824,0.0014739420559168,0.0414730973899822,37,0.0,0.0,0.7697841726618705,0.2302158273381295,0.0
Alaska,0.649,Anchorage ,0.5661345733041575,0.4145908096280088,58917.704989154015,0.852608949620594,0.10269260425789181,0.03966858256559337,0.031290417446525984,0.004697483941751783,0.12687357873825716,21,0.0204918032786885,0.0,0.0,0.4262295081967213,0.5532786885245902
Alaska,0.649,Denali ,0.5661345733041575,0.4145908096280088,58917.704989154015,0.852608949620594,0.10269260425789181,0.03966858256559337,0.031290417446525984,0.004697483941751783,0.12687357873825716,38,0.0,0.0,1.0,0.0,0.0
Alaska,0.649,Fairbanks North Star ,0.5661345733041575,0.4145908096280088,58917.704989154015,0.852608949620594,0.10269260425789181,0.03966858256559337,0.031290417446525984,0.004697483941751783,0.12687357873825716,39,0.1144278606965174,0.0,0.4427860696517413,0.4278606965174129,0.0149253731343283
Alaska,0.649,Juneau ,0.5661345733041575,0.4145908096280088,58917.704989154015,0.852608949620594,0.10269260425789181,0.03966858256559337,0.031290417446525984,0.004697483941751783,0.12687357873825716,14,0.0,0.0,0.0,0.9946808510638298,0.0053191489361702
Alaska,0.649,Matanuska-Susitna ,0.5661345733041575,0.4145908096280088,58917.704989154015,0.852608949620594,0.10269260425789181,0.03966858256559337,0.031290417446525984,0.004697483941751783,0.12687357873825716,10,0.0,0.0,0.0,0.5336134453781513,0.4663865546218487
Arizona,0.893,Apache,0.327,0.661,45633.0,0.2505654725516567,0.0158943636141337,0.0088947304071402,0.7415179117251498,0.0019867954517667,0.0722582222765619,11,0.0,0.0,0.0,0.0769230769230769,0.9230769230769232
Arizona,0.893,Cochise,0.582,0.399,50195.0,0.9060821403277018,0.057463215107072,0.0362238686009406,0.0320301122844433,0.0086580775566395,0.358657679667046,45,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857
Arizona,0.893,Coconino,0.37,0.61,58933.0,0.6872067194224628,0.0247188671386922,0.0339650145772594,0.2843815077051229,0.005414410662224,0.1504789670970429,47,0.0,0.0,1.0,0.0,0.0
Arizona,0.893,Gila,0.664,0.323,50505.0,0.8004525054708653,0.0136493453506917,0.0122955379993323,0.1902748414376321,0.0030785208263788,0.1930566373650828,48,0.0,0.0,0.9413919413919414,0.0,0.0586080586080586
Arizona,0.893,La Paz,0.688,0.3,53997.0,0.7935296255906943,0.0262934690415606,0.0177511208045559,0.1962316733309099,0.0062401550951169,0.2763843450866352,45,0.0,0.0,0.9288389513108616,0.0187265917602996,0.0524344569288389
Arizona,0.893,Maricopa,0.482,0.503,63461.0,0.8471610827494264,0.0829572688180925,0.0627596383101572,0.0378479823461328,0.0056302021037349,0.3209191031399592,74,0.0,0.0,0.7755775577557755,0.0561056105610561,0.1683168316831683
Arizona,0.893,Mohave,0.75,0.237,44645.0,0.9362863198318964,0.0208182378088544,0.021511122382436,0.044480472429534,0.0050449242808492,0.1810059053691761,18,0.0,0.0,0.0,0.0,1.0
Arizona,0.893,Navajo,0.534,0.452,42096.0,0.5416014726184998,0.0192728946157386,0.0120754716981132,0.4484307409111827,0.0035250805338242,0.1226507132995858,43,0.0,0.0,0.7683823529411765,0.0,0.2316176470588235
Arizona,0.893,Pima,0.397,0.588,54464.0,0.8719862102483271,0.0571427490811717,0.0466198372347879,0.0559731164139081,0.0045991053302912,0.3847921278142808,48,0.0,0.0,0.4505494505494505,0.0549450549450549,0.4945054945054945
Arizona,0.893,Pinal,0.577,0.405,45950.0,0.8481042929717292,0.0751991795826385,0.030933698729301,0.0766534382984957,0.007223895517436,0.317295552769124,66,0.0,0.0,0.5645756457564576,0.018450184501845,0.4169741697416974
Arizona,0.893,Santa Cruz,0.317,0.672,47898.0,0.961504542751082,0.0144998872003117,0.0109313152443651,0.021534485941057,0.0024405750733197,0.8248118296109436,32,0.0,0.0,0.0,0.6703703703703704,0.3296296296296296
Arizona,0.893,Yavapai,0.639,0.346,51747.0,0.9501647095141575,0.0159794630997883,0.0208252941821593,0.0353790349769081,0.0038019261467722,0.1571381569594339,42,0.0,0.0,1.0,0.0,0.0
Arizona,0.893,Yuma,0.523,0.461,44811.0,0.9299756545837704,0.0322600821778081,0.0230222957823731,0.0344540564467239,0.0048931399813319,0.6612571087653121,46,0.0,0.0,0.6336996336996337,0.1172161172161172,0.2490842490842491
Arkansas,0.555,Arkansas,0.684,0.289,57819.0,0.7371608527131783,0.2614462209302325,0.0109011627906976,0.0129602713178294,0.0013323643410852,0.040515988372093,28,0.0,0.0,0.0,1.0,0.0
Arkansas,0.555,Ashley,0.7,0.268,44693.0,0.745831971232429,0.2473575242453961,0.006265664160401,0.015800370491446,0.001906941266209,0.0647815190149286,27,0.0,0.0,0.0,1.0,0.0
Arkansas,0.555,Clark,0.551,0.408,42339.0,0.7423529411764705,0.2475764705882353,0.0105411764705882,0.0137411764705882,0.0058823529411764,0.0540235294117647,36,0.0,0.0,1.0,0.0,0.0
Arkansas,0.555,Crittenden,0.45,0.518,44072.0,0.4314825439323431,0.5645438898450946,0.0102845243407492,0.009477061685897,0.0015511782580055,0.0318947748666624,32,0.0,0.2977941176470588,0.6360294117647058,0.0661764705882353,0.0
Arkansas,0.555,Garland,0.658,0.318,48507.0,0.8933049585868577,0.1009001988230474,0.0135079778996692,0.0187732917703244,0.0020281949065331,0.0664308765198972,33,0.0,0.0,0.0,1.0,0.0
Arkansas,0.555,Jackson,0.706,0.268,45916.0,0.8026347449470644,0.1900866217516843,0.0089629451395572,0.0168431183830606,0.0037295476419634,0.0345885466794995,28,0.0,0.0,0.0,1.0,0.0
Arkansas,0.555,Newton,0.798,0.177,37835.0,0.9725911274371292,0.0132805877366487,0.0089008194405199,0.0346142978242441,0.0011302627860977,0.0268437411698219,39,0.0,0.0,1.0,0.0,0.0
Arkansas,0.555,Polk,0.829,0.147,39652.0,0.9583699643171124,0.0137560117908672,0.011687438589233,0.0425091792935822,0.0011377152608987,0.0674872007033148,36,0.0,0.0,0.9270833333333334,0.0729166666666666,0.0
Arkansas,0.555,Pulaski,0.377,0.597,61575.0,0.5814979518721267,0.400150321311804,0.0300692730711896,0.0122561976224179,0.0013178168334815,0.0660787433138333,43,0.0,0.0110294117647058,0.3786764705882353,0.6102941176470589,0.0
Arkansas,0.555,Union,0.631,0.336,51180.0,0.6562301335028607,0.3365384615384615,0.0111517270608179,0.0131648654375927,0.0011655011655011,0.0428056791693155,32,0.0,0.0,0.0,1.0,0.0
Arkansas,0.555,Washington,0.505,0.464,48785.0,0.8841455318018855,0.0517937622532747,0.0345044404695884,0.0305990142704273,0.0322510095526724,0.1759394502722082,38,0.0,0.0,0.88,0.075,0.045
California,0.942,Alameda,0.176,0.804,97754.0,0.5184834594538849,0.126488262409323,0.3782462460029085,0.0236439968888831,0.0165868936529655,0.222215264975933,41,0.0040983606557377,0.0081967213114754,0.5901639344262295,0.3975409836065574,0.0
California,0.942,Amador,0.609,0.366,48463.0,0.9213995943204868,0.0396744904858495,0.0298947165072925,0.0404230657780353,0.0073891625615763,0.1595672751859364,35,0.0,0.0,1.0,0.0,0.0
California,0.942,Butte,0.477,0.495,54974.0,0.890252432429825,0.0373173567193914,0.0744514068778551,0.0450210561352223,0.0078387674080934,0.1910102603435551,43,0.0053475935828877,0.0,0.7647058823529411,0.2299465240641711,0.0
California,0.942,Calaveras,0.61,0.368,56001.0,0.9393295105555912,0.0214548031698988,0.0364452462255438,0.0417928398084315,0.0060777870841655,0.1494319524085647,38,0.0,0.0,0.7222222222222222,0.2666666666666666,0.0111111111111111
California,0.942,Colusa,0.573,0.406,55502.0,0.9303185178424752,0.0256457059414073,0.0230902619330108,0.0393812174865382,0.009628547960208,0.6173222597426303,40,0.0,0.0,0.6312849162011173,0.3463687150837989,0.0223463687150838
California,0.942,Contra Costa,0.262,0.718,95047.0,0.679087371625441,0.1130681454770494,0.2376733629164556,0.0230162338391966,0.0121792688808487,0.2695048946987206,42,0.0040983606557377,0.0,0.5655737704918032,0.430327868852459,0.0
California,0.942,Del Norte,0.564,0.408,43677.0,0.8274499667675947,0.0467838416660512,0.0511409792482091,0.1273539620412082,0.0062403072151244,0.2076656081530167,23,0.0,0.0,0.0,1.0,0.0
California,0.942,El Dorado,0.531,0.446,82062.0,0.9137744879208496,0.0197668261993501,0.0774425630430945,0.0281033605680886,0.0061304153732753,0.1406725288871816,43,0.0,0.0,0.9834254143646408,0.0,0.0165745856353591
California,0.942,Fresno,0.451,0.529,50549.0,0.7825884809740049,0.0707040061466326,0.1332656941065219,0.0449955180803593,0.0056147125168687,0.54985470700066,64,0.0,0.0,0.6831275720164609,0.3004115226337449,0.0164609053497942
California,0.942,Glenn,0.629,0.35,51055.0,0.916546102544197,0.0233600338755778,0.0362045238011221,0.0497194678711316,0.0053989202159568,0.4460284413705494,40,0.0,0.0,0.8579545454545454,0.1079545454545454,0.034090909090909
California,0.942,Humboldt,0.299,0.675,54043.0,0.8806014369305978,0.0329234871491,0.0536626916524701,0.0907858677135027,0.009132656840234,0.1322568698614917,23,0.0036496350364963,0.0,0.781021897810219,0.1094890510948905,0.1058394160583941
California,0.942,Imperial,0.346,0.634,45188.0,0.9164750186052496,0.0362312758445104,0.0260137762781666,0.0352968166837331,0.0036203298025325,0.8606704604589481,57,0.0,0.0168067226890756,0.3109243697478991,0.1764705882352941,0.4957983193277311
California,0.942,Inyo,0.485,0.491,61501.0,0.8266374612672294,0.0242547280692381,0.0289560850518217,0.1550913559140934,0.0043273854044235,0.2475157602307938,50,0.0,0.0,0.5822368421052632,0.3092105263157895,0.1085526315789473
California,0.942,Kern,0.516,0.462,44862.0,0.8458762503984246,0.0742095910089203,0.0698160042265759,0.0420343452955328,0.0049251834936492,0.5675160570587747,57,0.0,0.0,0.4857142857142857,0.4380952380952381,0.0761904761904762
California,0.942,Kings,0.553,0.423,42525.0,0.841150208195789,0.087893267791425,0.0605761499794092,0.0454500885730907,0.0069028179970061,0.5728881364352436,67,0.0,0.0,0.5723684210526315,0.2368421052631578,0.1907894736842105
California,0.942,Lake,0.358,0.623,45623.0,0.907715094367292,0.0358258421199278,0.0285228255928201,0.0721209543781437,0.0081975627282192,0.2474666744878356,16,0.0,0.0,0.0,0.9333333333333332,0.0666666666666666
California,0.942,Los Angeles,0.267,0.712,74142.0,0.7289080764001087,0.1008201920392447,0.1760084056002497,0.0242361542444927,0.0068932258754067,0.4903351850369782,69,0.0054945054945054,0.1758241758241758,0.456043956043956,0.3241758241758242,0.0384615384615384
California,0.942,Madera,0.547,0.431,46406.0,0.8783009684504792,0.048347643769968,0.0375149760383386,0.0598854333067092,0.0050419329073482,0.6083953174920128,48,0.0,0.0,0.5583333333333333,0.425,0.0166666666666666
California,0.942,Marin,0.156,0.826,171177.0,0.8858634939730801,0.0375442351709645,0.09759470037263,0.0189361685506487,0.0055894507417447,0.1710856267918662,33,0.0040983606557377,0.0081967213114754,0.6557377049180327,0.3319672131147541,0.0
California,0.942,Mariposa,0.579,0.398,61230.0,0.9259106933019976,0.0248531139835487,0.0257344300822561,0.0581668625146886,0.0056991774383078,0.1476498237367802,45,0.0,0.0,0.9622641509433962,0.0330188679245283,0.0047169811320754
