County,2020,2021,2022
Autauga,"45,151","48,914","49,391"
Baldwin,"51,230","55,865","56,747"
Barbour,"37,111","40,795","40,560"
Bibb,"34,938","37,175","37,513"
Blount,"38,133","42,852","43,744"
Bullock,"30,495","32,903","31,394"
Butler,"39,534","45,213","46,916"
Calhoun,"39,591","43,045","42,533"
Chambers,"36,250","38,929","38,876"
Cherokee,"39,971","44,622","44,883"
Chilton,"38,532","42,012","42,231"
Choctaw,"40,531","43,289","46,440"
Clarke,"41,234","44,784","45,179"
Clay,"35,069","38,770","39,876"
Cleburne,"37,928","42,777","44,235"
Coffee,"45,039","50,028","50,729"
Colbert,"40,052","43,782","44,061"
Conecuh,"37,100","40,467","40,376"
Coosa,"36,000","38,500","39,617"
Covington,"37,926","41,679","41,543"
Crenshaw,"39,935","45,585","47,882"
Cullman,"42,181","46,762","49,122"
Dale,"40,264","44,101","43,969"
Dallas,"39,269","42,158","41,812"
DeKalb,"34,596","40,068","40,558"
Elmore,"44,636","48,442","49,071"
Escambia,"36,380","39,770","38,838"
Etowah,"39,607","42,571","42,951"
Fayette,"38,222","41,890","42,036"
Franklin,"36,497","40,049","42,060"
Geneva,"38,181","41,771","41,283"
Greene,"36,626","39,661","38,104"
Hale,"41,204","44,293","43,219"
Henry,"47,555","51,489","52,045"
Houston,"47,325","51,215","51,096"
Jackson,"38,905","43,061","43,275"
Jefferson,"58,074","64,006","66,345"
Lamar,"36,793","39,585","39,200"
Lauderdale,"42,199","44,530","45,107"
Lawrence,"36,917","42,081","41,522"
Lee,"41,326","45,046","46,691"
Limestone,"47,831","52,876","53,944"
Lowndes,"42,209","47,285","46,639"
Macon,"34,772","37,946","38,135"
Madison,"56,265","60,198","61,252"
Marengo,"43,790","46,837","46,799"
Marion,"37,100","41,264","42,330"
Marshall,"41,147","45,298","45,892"
Mobile,"42,416","47,372","47,586"
Monroe,"38,727","42,105","41,177"
Montgomery,"46,116","49,165","49,199"
Morgan,"42,823","46,248","46,203"
Perry,"37,701","39,995","38,292"
Pickens,"39,331","42,738","42,664"
Pike,"40,936","45,430","46,766"
Randolph,"36,506","41,647","42,590"
Russell,"35,834","39,584","38,452"
St. Clair,"43,432","47,088","48,058"
Shelby,"59,313","64,523","67,405"
Sumter,"35,823","38,899","38,538"
Talladega,"37,831","41,256","41,231"
Tallapoosa,"44,621","47,953","48,764"
Tuscaloosa,"39,137","40,964","41,232"
Walker,"42,856","45,994","46,698"
Washington,"40,262","43,810","43,656"
Wilcox,"35,964","39,538","39,881"
Winston,"39,386","42,066","43,785"
,,,
Alaska,"61,898","65,662","68,635"
Aleutians East Borough,"57,010","58,769","63,878"
Aleutians West Census Area,"62,591","63,537","69,259"
Anchorage Municipality,"67,764","72,331","75,506"
Bethel Census Area,"45,709","46,535","48,700"
Bristol Bay Borough,"139,499","155,951","157,546"
Chugach Census Area,"61,431","68,702","70,721"
Copper River Census Area,"49,024","57,179","60,227"
Denali Borough,"88,560","107,766","120,674"
Dillingham Census Area,"57,520","57,703","60,904"
Fairbanks North Star Borough,"60,410","65,243","67,790"
Haines Borough,"75,823","78,623","85,663"
Hoonah-Angoon Census Area,"55,325","58,965","66,897"
Juneau City and Borough,"70,659","74,872","78,632"
Kenai Peninsula Borough,"55,838","59,626","61,262"
Ketchikan Gateway Borough,"66,142","69,043","72,997"
Kodiak Island Borough,"65,458","68,188","71,593"
Kusilvak Census Area,"32,643","35,394","36,672"
Lake and Peninsula Borough,"58,144","63,407","67,312"
Matanuska-Susitna Borough,"52,717","55,049","58,048"
Nome Census Area,"53,918","56,983","61,962"
North Slope Borough,"76,256","70,272","74,651"
Northwest Arctic Borough,"49,121","51,860","55,286"
Petersburg Borough,"68,829","76,104","73,152"
Prince of Wales-Hyder Census Area,"51,546","51,360","53,173"
Sitka City and Borough,"67,848","75,822","80,252"
Skagway Municipality,"57,961","67,477","75,545"
Southeast Fairbanks Census Area,"53,262","58,798","60,361"
Wrangell City and Borough,"56,521","59,141","60,959"
Yakutat City and Borough,"58,753","61,535","64,037"
Yukon-Koyukuk Census Area,"58,074","61,353","65,096"
,,,
Arizona,"52,133","56,420","58,442"
Apache,"42,192","45,817","45,633"
Cochise,"46,835","49,445","50,195"
Coconino,"52,890","56,505","58,933"
Gila,"44,992","49,250","50,505"
Graham,"35,930","39,014","40,981"
Greenlee,"43,210","48,193","54,219"
La Paz,"46,218","51,897","53,997"
Maricopa,"56,024","61,008","63,461"
Mohave,"40,229","42,777","44,645"
Navajo,"38,620","42,102","42,096"
Pima,"49,601","53,034","54,464"
Pinal,"41,546","44,574","45,950"
Santa Cruz,"43,176","47,119","47,898"
Yavapai,"46,954","50,065","51,747"
Yuma,"42,177","44,285","44,811"
,,,
Arkansas,"47,147","51,636","52,618"
Arkansas,"52,013","59,129","57,819"
Ashley,"39,850","43,178","44,693"
Baxter,"41,064","43,971","44,402"
Benton,"83,178","94,227","98,822"
Boone,"38,572","42,474","42,367"
Bradley,"43,164","46,851","48,740"
Calhoun,"42,539","45,906","47,021"
Carroll,"34,908","40,903","41,731"
Chicot,"44,391","48,652","45,390"
Clark,"41,644","42,816","42,339"
Clay,"39,407","44,611","43,534"
Cleburne,"45,100","47,640","48,466"
Cleveland,"42,243","47,838","51,226"
Columbia,"41,393","44,008","45,298"
Conway,"41,962","45,958","47,384"
Craighead,"42,319","46,746","46,373"
Crawford,"38,448","41,293","41,735"
Crittenden,"41,433","45,226","44,072"
Cross,"40,176","42,803","41,096"
Dallas,"43,720","46,351","47,046"
Desha,"44,694","49,934","48,207"
Drew,"42,835","46,141","46,516"
Faulkner,"44,624","47,383","48,161"
Franklin,"35,810","40,598","42,047"
Fulton,"32,534","34,739","34,007"
Garland,"45,130","47,762","48,507"
Grant,"43,066","45,341","45,847"
Greene,"38,993","41,554","41,559"
Hempstead,"35,619","40,520","42,949"
Hot Spring,"34,928","37,551","37,659"
Howard,"36,069","43,359","47,291"
Independence,"38,571","43,048","44,216"
Izard,"32,854","34,443","34,660"
Jackson,"42,060","44,141","45,916"
Jefferson,"38,360","41,301","40,786"
Johnson,"31,868","35,090","35,505"
Lafayette,"40,569","47,346","49,687"
Lawrence,"39,109","40,422","42,271"
Lee,"33,059","39,589","35,818"
Lincoln,"29,553","33,245","33,042"
Little River,"38,061","40,902","41,691"
Logan,"35,622","39,072","40,841"
Lonoke,"45,170","47,982","48,433"
Madison,"35,138","43,025","44,395"
Marion,"33,807","37,115","36,718"
Miller,"37,613","40,433","39,978"
Mississippi,"37,870","45,431","43,455"
Monroe,"39,376","42,735","40,123"
Montgomery,"34,862","37,495","37,923"
Nevada,"35,352","39,114","40,501"
Newton,"35,535","38,339","37,835"
Ouachita,"43,455","46,915","48,100"
Perry,"40,629","43,323","44,265"
Phillips,"40,166","46,476","44,342"
Pike,"35,391","40,466","41,288"
Poinsett,"39,122","43,231","42,536"
Polk,"33,975","37,993","39,652"
Pope,"37,783","41,393","41,693"
Prairie,"40,890","44,301","43,530"
Pulaski,"55,665","60,465","61,575"
Randolph,"37,003","40,175","40,964"
St. Francis,"33,567","36,972","35,659"
Saline,"47,277","51,191","52,328"
Scott,"33,922","37,889","39,895"
Searcy,"31,550","34,618","33,616"
Sebastian,"45,266","47,834","48,381"
Sevier,"35,628","41,789","44,850"
Sharp,"37,085","41,195","43,728"
Stone,"34,072","37,248","36,857"
Union,"50,523","49,854","51,180"
